Symbol,Long/Short,Entry Date,Average Entry Price,Exit Price,Exit Date,Profit %,Sector,Year,Month,Weekday,Trade Duration
UNG,Short,2022-07-25,30.03,26.93,2022-08-01,10.32,Commodities,2022,7,Monday,7.0
FCX,Long,2022-07-06,25.62,29.15,2022-07-20,13.78,Basic Materials,2022,7,Wednesday,14.0
CVNA,Long,2022-07-11,21.75,25.25,2022-07-20,16.09,Consumer Cyclical,2022,7,Monday,9.0
ZM,Long,2022-07-14,97.4,107.4,2022-07-20,10.27,Technology,2022,7,Thursday,6.0
NET,Long,2022-07-14,44.3,52.8,2022-07-20,19.19,Technology,2022,7,Thursday,6.0
UUP PUTS,Long,2022-07-06,0.93,1.05,2022-07-19,12.9,Equity / Other,2022,7,Wednesday,13.0
NFLX,Long,2022-04-20,189.06,200.2,2022-07-19,5.89,Communication Services,2022,4,Wednesday,90.0
NVDA,Long,2022-07-01,146.25,169.05,2022-07-19,15.59,Technology,2022,7,Friday,18.0
SE,Long,2022-07-14,68.15,75.45,2022-07-19,10.67,Consumer Cyclical,2022,7,Thursday,5.0
MARA,Long,2022-06-06,7.61,9.31,2022-07-18,22.34,Financial Services,2022,6,Monday,42.0
TDOC,Long,2022-04-14,40.41,42.21,2022-07-07,4.45,Healthcare,2022,4,Thursday,84.0
XOM,Short,2022-02-01,91.15,81.05,2022-07-06,11.03,Energy,2022,2,Tuesday,155.0
SE,Long,2022-06-29,68.85,76.2,2022-07-05,10.68,Consumer Cyclical,2022,6,Wednesday,6.0
CVNA,Long,2022-06-29,22.3,26.3,2022-07-05,17.94,Consumer Cyclical,2022,6,Wednesday,6.0
ASML,Short,2020-05-20,455.38,446.25,2022-07-01,2.0,Technology,2020,5,Wednesday,772.0
SCO,Long,2022-06-29,20.2,23.05,2022-06-30,14.11,Equity / Other,2022,6,Wednesday,1.0
QCOM,Long,2022-06-16,122.25,136.25,2022-06-28,11.45,Technology,2022,6,Thursday,12.0
ZM,Long,2022-04-11,104.7,121.7,2022-06-24,16.24,Technology,2022,4,Monday,74.0
SNOW,Long,2022-05-10,134.97,148.67,2022-06-24,10.15,Technology,2022,5,Tuesday,45.0
STNE,Long,2022-06-14,8.05,9.15,2022-06-24,13.67,Technology,2022,6,Tuesday,10.0
UWM,Long,2022-06-16,29.25,32.15,2022-06-24,9.92,Equity / Other,2022,6,Thursday,8.0
SHOP,Long,2022-06-14,305.0,362.5,2022-06-23,18.69,Technology,2022,6,Tuesday,9.0
CVNA,Long,2022-06-07,22.27,27.07,2022-06-21,21.55,Consumer Cyclical,2022,6,Tuesday,14.0
CVX,Short,2022-03-02,162.15,145.95,2022-06-17,9.99,Energy,2022,3,Wednesday,107.0
SCO,Long,2022-06-02,19.22,21.72,2022-06-17,13.01,Equity / Other,2022,6,Thursday,15.0
